Feature,Master_feature,Time,Type
4E-BP1_T1_T4,4E-BP1,T4,Cytokine
ADA_T1_T4,ADA,T4,Cytokine
Beta-NGF_T1_T4,Beta-NGF,T4,Cytokine
CASP-8_T1_T4,CASP-8,T4,Cytokine
CCL11_T1_T4,CCL11,T4,Cytokine
CCL19_T1_T4,CCL19,T4,Cytokine
CCL20_T1_T4,CCL20,T4,Cytokine
CCL23_T1_T4,CCL23,T4,Cytokine
CCL25_T1_T4,CCL25,T4,Cytokine
CCL28_T1_T4,CCL28,T4,Cytokine
CCL3_T1_T4,CCL3,T4,Cytokine
CCL4_T1_T4,CCL4,T4,Cytokine
CD244_T1_T4,CD244,T4,Cytokine
CD40_T1_T4,CD40,T4,Cytokine
CD5_T1_T4,CD5,T4,Cytokine
CD6_T1_T4,CD6,T4,Cytokine
CDCP1_T1_T4,CDCP1,T4,Cytokine
CSF-1_T1_T4,CSF-1,T4,Cytokine
CST5_T1_T4,CST5,T4,Cytokine
CX3CL1_T1_T4,CX3CL1,T4,Cytokine
CXCL1_T1_T4,CXCL1,T4,Cytokine
CXCL10_T1_T4,CXCL10,T4,Cytokine
CXCL11_T1_T4,CXCL11,T4,Cytokine
CXCL5_T1_T4,CXCL5,T4,Cytokine
CXCL6_T1_T4,CXCL6,T4,Cytokine
CXCL9_T1_T4,CXCL9,T4,Cytokine
DNER_T1_T4,DNER,T4,Cytokine
EN-RAGE_T1_T4,EN-RAGE,T4,Cytokine
FGF-19_T1_T4,FGF-19,T4,Cytokine
FGF-21_T1_T4,FGF-21,T4,Cytokine
FGF-23_T1_T4,FGF-23,T4,Cytokine
Flt3L_T1_T4,Flt3L,T4,Cytokine
HGF_T1_T4,HGF,T4,Cytokine
IL-10RA_T1_T4,IL-10RA,T4,Cytokine
IL-10RB_T1_T4,IL-10RB,T4,Cytokine
IL-12B_T1_T4,IL-12B,T4,Cytokine
IL-18R1_T1_T4,IL-18R1,T4,Cytokine
IL10_T1_T4,IL10,T4,Cytokine
IL18_T1_T4,IL18,T4,Cytokine
IL6_T1_T4,IL6,T4,Cytokine
IL7_T1_T4,IL7,T4,Cytokine
IL8_T1_T4,IL8,T4,Cytokine
LAP TGF-beta-1_T1_T4,LAP TGF-beta-1,T4,Cytokine
