Nutrient,BL,W10,d.value,q.value
Magnesium (mg),341.2+/-104.8,462.4+/-150.7,2.912217094533107,4.591117910240263e-4
Potassium (mg),2726.4+/-549.1,3377+/-944.3,2.7823095225396184,4.591117910240263e-4
Vitamin C (ascorbic acid) (mg),77.3+/-54.9,166+/-118,2.681467147543939,4.591117910240263e-4
Vitamin K (phylloquinone) (mcg),166.9+/-106.2,308.1+/-188.6,2.7984665830682744,4.591117910240263e-4
Total Dietary Fiber (g),22+/-7.4,43.3+/-15,2.02694242983776,0.00248940615577472
Insoluble Dietary Fiber (g),15.7+/-5.6,33.1+/-11.9,1.7943262546994951,0.002856695588593941
Sodium (mg),2989.7+/-691.4,2603.1+/-1011.5,-1.845105518005058,0.002856695588593941
Animal Protein (g),49.1+/-17,32.9+/-15.4,-1.5748506505166262,0.0036728943281922103
Beta-Carotene (provitamin A carotenoid) (mcg),4574.8+/-3743.2,6532.1+/-4729.9,1.3137432593267977,0.005940113049298513
Total Sugars (g),79.7+/-28.8,97.6+/-35.8,1.2222081893750725,0.006141895515476973
Vegetable Protein (g),29.8+/-6.4,40.9+/-14.2,1.0491789873729456,0.00777243799753806
Calcium (mg),949.9+/-286,1026.7+/-275.5,0.9796285320479385,0.007923929430266527
Total Carbohydrate (g),224+/-58.1,248.1+/-63.3,0.9344838635440019,0.008114899007159712
Lutein + Zeaxanthin (mcg),3580.9+/-4969.5,4590.6+/-3312.1,0.6849548385679509,0.011005079672249994
Iron (mg),13.7+/-4.6,19+/-5.6,0.6240529968206467,0.011299251301313536
Energy (kcal),1880.4+/-366.2,1952.9+/-462.4,0.5732866645071291,0.01161882911663418
Alpha-Carotene (provitamin A carotenoid) (mcg),808.2+/-923.5,1009.6+/-1353,0.4780915790146799,0.01170224942899018
Soluble Dietary Fiber (g),6.3+/-2.4,10.1+/-4.8,0.473598185509625,0.01170224942899018
Added Sugars (by Total Sugars) (g),36.7+/-23.9,37.8+/-25.3,NA,NA
Beta-Cryptoxanthin (provitamin A carotenoid) (mcg),354.4+/-728.1,296.1+/-348.3,NA,NA
Cholesterol (mg),224.9+/-61.8,196.3+/-131.5,NA,NA
Lycopene (mcg),3992.5+/-4108.2,3720.7+/-4969.1,NA,NA
Pectins (g),2.8+/-1.3,5.8+/-2.8,NA,NA
Refined Grains (ounce equivalents),4.8+/-2.5,2.9+/-1.1,NA,NA
Total Fat (g),71+/-17.7,77.5+/-25.9,NA,NA
Total Grains (ounce equivalents),7.4+/-3,6+/-2.2,NA,NA
Total Monounsaturated Fatty Acids (MUFA) (g),24.5+/-6.6,27.9+/-11.6,NA,NA
Total Polyunsaturated Fatty Acids (PUFA) (g),16.4+/-5.2,19.7+/-6.6,NA,NA
Total Protein (g),78.9+/-18.6,73.9+/-20.1,NA,NA
Total Saturated Fatty Acids (SFA) (g),23.8+/-7.4,23.2+/-10.7,NA,NA
Whole Grains (ounce equivalents),2.6+/-3.6,3.1+/-2,NA,NA
