"","Sample","Study","Participant","Timepoint","SampleID","sum_reads"
"1","Pilot_8000_1_1_D11","Pilot","8000","1","1",14364349
"2","Pilot_8000_2_1_D8","Pilot","8000","2","1",26820886
"3","Pilot_8000_6_1_A8","Pilot","8000","6","1",32785566
"4","Pilot_8001_1_1_D12","Pilot","8001","1","1",1
"5","Pilot_8001_2_1_E1","Pilot","8001","2","1",23369527
"6","Pilot_8001_6_1_A2","Pilot","8001","6","1",13541575
"7","Pilot_8001_7_1_B11","Pilot","8001","7","1",111425427
"8","Pilot_8002_1_1_E11","Pilot","8002","1","1",29134021
"9","Pilot_8002_2_1_E10","Pilot","8002","2","1",11041590
"10","Pilot_8002_6_2_B4","Pilot","8002","6","2",47511823
"11","Pilot_8002_7_1_B5","Pilot","8002","7","1",15366203
"12","Pilot_8003_1_1_E6","Pilot","8003","1","1",22627188
"13","Pilot_8003_2_1_E7","Pilot","8003","2","1",45409708
"14","Pilot_8003_6_2_A7","Pilot","8003","6","2",63242626
"15","Pilot_8003_7_2_B2","Pilot","8003","7","2",35647804
"16","Pilot_8004_1_1_F4","Pilot","8004","1","1",14567830
"17","Pilot_8004_2_1_F5","Pilot","8004","2","1",25042692
"18","Pilot_8004_6_1_B1","Pilot","8004","6","1",12597382
"19","Pilot_8004_7_3_B6","Pilot","8004","7","3",58062235
"20","Pilot_8006_1_1_G1","Pilot","8006","1","1",22630764
"21","Pilot_8006_2_1_G6","Pilot","8006","2","1",11483389
"22","Pilot_8006_6_1_A6","Pilot","8006","6","1",21667158
"23","Pilot_8006_7_3_C4","Pilot","8006","7","3",41095757
"24","Pilot_8007_2_1_F9","Pilot","8007","2","1",18565115
"25","Pilot_8007_6_1_A11","Pilot","8007","6","1",17436996
"26","Pilot_8008_1_1_H2","Pilot","8008","1","1",31194500
"27","Pilot_8008_2_1_G5","Pilot","8008","2","1",2
"28","Pilot_8008_6_1_B10","Pilot","8008","6","1",13266548
