SampleName	raw_reads	raw_bases	trimmed_reads	trimmed_bases	unique_reads	unique_bases	duplicate_reads	duplicate_bases	host_reads
Pilot_8000_1_1_D11	14364349	4194389908	14077510	4008556676	13582193	3865949178	485884	139955332	9433
Pilot_8000_2_1_D8	26820886	7831698712	26217825	7524129201	25194889	7228171635	1019435	294980722	3501
Pilot_8000_6_1_A8	32785566	9573385272	31919380	9009685581	30643916	8643733552	1274605	365743068	859
Pilot_8001_2_1_E1	23369527	6823901884	22919856	6551125569	22012954	6289147330	903392	261073546	3510
Pilot_8001_6_1_A2	13541575	3954139900	13119923	3695351597	12769471	3594882535	349638	100282506	814
Pilot_8001_7_1_B11	111425427	32536224684	108870730	31150521980	103951326	29728818124	4781143	1383250629	138261
Pilot_8002_1_1_E11	29134021	8507134132	28672311	8187715287	26065708	7447036391	1013748	292334186	1592855
Pilot_8002_2_1_E10	11041590	3224144280	10900633	3120042067	10674525	3054767806	225531	65117413	577
Pilot_8002_6_2_B4	47511823	13873452316	46435104	13309428362	44702466	12808406915	1724437	498729124	8201
Pilot_8002_7_1_B5	15366203	4486931276	15029516	4281410919	14498532	4129044441	494715	142427417	36269
Pilot_8003_1_1_E6	22627188	6607138896	22201107	6373450455	21250101	6098679437	950111	274522809	895
Pilot_8003_2_1_E7	45409708	13259634736	44347357	12678769206	42666922	12193244498	1677531	484763946	2904
Pilot_8003_6_2_A7	63242626	18466846792	62048149	17779746360	58992847	16895640550	3053423	883605740	1879
Pilot_8003_7_2_B2	35647804	10409158768	34903986	10009026011	32935446	9438595288	1967437	570140415	1103
Pilot_8004_1_1_F4	14567830	4253806360	14258819	4053177673	13830157	3929756674	426485	122832633	2177
Pilot_8004_2_1_F5	25042692	7312466064	24332054	6927241791	23401277	6658825427	926984	267363828	3793
Pilot_8004_6_1_B1	12597382	3678435544	12257195	3464395953	11934066	3371542734	322919	92798731	210
Pilot_8004_7_3_B6	58062235	16954172620	56794986	16268138313	54453006	15591109112	2341161	676800362	819
Pilot_8006_1_1_G1	22630764	6608183088	22174870	6344650741	21354846	6107786071	814494	235346248	5530
Pilot_8006_2_1_G6	11483389	3353149588	11228625	3210074363	10824418	3093420600	403601	116484844	606
