Kingdom,Phylum,Class,Order,Family,Genus,CottageCheese,Gutshots,Kefir,Kimchi,Kombucha,Sauerkraut,Yogurt,CottageCheese,Gutshots,Kefir,Kimchi,Kombucha,Sauerkraut,Yogurt
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,0,1864,0,650,0,0,0,0.00,0.15,0.00,0.01,0.00,0.00,0.00
,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,0,0,0,871,1153,0,0,0.00,0.00,0.00,0.02,0.03,0.00,0.00
,p__Cyanobacteria,c__Chloroplast,o__Streptophyta,f__,g__,0,412,3757,18159,1322,10216,7957,0.00,0.03,0.08,0.40,0.03,0.21,0.09
,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,0,0,0,0,1530,0,454,0.00,0.00,0.00,0.00,0.04,0.00,0.00
,,,,,NA,0,0,0,0,0,570,523,0.00,0.00,0.00,0.00,0.00,0.01,0.01
,,,o__Lactobacillales,f__Lactobacillaceae,g__,0,2266,744,4762,2879,5966,8519,0.00,0.19,0.02,0.10,0.07,0.12,0.09
,,,,,g__Lactobacillus,2356,3267,18961,7784,10268,8015,18343,0.13,0.27,0.43,0.17,0.24,0.16,0.20
,,,,,g__Pediococcus,0,3520,1484,1441,2229,2858,1815,0.00,0.29,0.03,0.03,0.05,0.06,0.02
,,,,f__Leuconostocaceae,g__Leuconostoc,0,300,852,3461,759,4090,6902,0.00,0.02,0.02,0.08,0.02,0.08,0.08
,,,,,g__Weissella,0,0,0,0,0,0,559,0.00,0.00,0.00,0.00,0.00,0.00,0.01
,,,,f__Streptococcaceae,g__Lactococcus,7601,590,0,0,10653,5627,541,0.41,0.05,0.00,0.00,0.25,0.11,0.01
,,,,,g__Streptococcus,8476,0,17725,2871,11459,10071,42466,0.46,0.00,0.40,0.06,0.27,0.20,0.46
,,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,0,0,0,347,0,0,0,0.00,0.00,0.00,0.01,0.00,0.00,0.00
,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__Raphanus,0,0,978,5318,0,2335,2825,0.00,0.00,0.02,0.12,0.00,0.05,0.03
,,,,,NA,0,0,0,0,0,0,369,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Klebsiella,0,0,0,0,0,0,305,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,18433,12219,44501,45664,42252,49748,91578,,,,,,,
